GeneSymbol	Human	Chimpanzee	Pigtailed_macaque	Japanese_macaque	Rhesus_macaque	Cynomolgous_Mauritian	Cynomolgous_Chinese	Baboon	Sooty_mangabey	Marmoset	Squirrel_monkey	Mouse_lemur
FAF2	9428	716	886	792	376	612	1008	900	1278	574	382	500
FAH	2724	304	270	302	230	262	404	196	106	276	88	4
FAHD1	3796	948	506	498	204	420	524	443	366	234	126	650
FAHD2A	2115	682	559	374	116	366	430	772	181	184	90	170
FAHD2B	2487	282	232	126	64	250	228	330	92	226	184	98
FAHD2CP	245	12	0	0	2	0	1	0	0	0	1	0
FAIM	773	78	162	136	106	116	108	122	84	96	86	78
FAIM2	14	62	6	14	2	10	10	22	0	10	2	2
FAIM3	2217	8	8	70	2	24	4	6	2	0	2	2
FAM100A	3478	142	92	112	10	104	156	188	396	192	80	74
FAM100B	12540	592	404	1048	262	612	1314	394	1508	78	98	544
FAM101A	34	0	0	0	0	0	0	0	0	0	0	0
FAM101B	2348	496	124	138	32	30	106	212	176	14	2	4
FAM102A	1775	90	118	336	36	58	156	174	142	38	60	22
FAM102B	1148	270	674	410	284	550	542	898	1512	106	120	242
FAM103A1	6732	576	3166	1068	532	1208	1084	1398	720	428	230	142
FAM104A	7693	670	468	532	346	620	464	678	514	374	214	618
FAM104B	1913	238	84	44	42	72	72	50	52	72	56	0
FAM105A	258	42	76	36	54	48	42	80	134	94	48	24
FAM105B	6505	1330	1036	1144	572	1044	1256	1610	1388	1306	656	314
FAM106A	27	38	0	2	0	0	0	0	0	0	0	0
FAM106CP	24	24	0	0	0	0	0	0	0	0	0	0
FAM107A	15098	150	138	122	22	74	220	318	260	150	170	6
FAM107B	1615	132	132	126	42	108	126	102	132	114	48	58
FAM108A1	1980	528	360	630	108	376	652	366	252	338	202	230
FAM108B1	7159	1042	1374	1362	588	1158	1434	1884	3006	494	374	658
FAM108C1	454	78	106	68	44	56	156	140	68	56	86	8
FAM109A	1320	172	86	126	52	64	112	92	90	8	8	0
FAM109B	428	16	4	12	18	14	18	36	36	6	2	2
FAM110A	935	40	22	28	32	48	64	24	12	6	6	0
FAM110B	3015	776	176	294	174	250	276	440	154	338	154	68
FAM110C	12	2	0	4	0	2	0	2	12	0	2	0
FAM110D	538	18	14	22	8	22	70	34	34	18	6	2
FAM111A	1516	166	570	748	276	468	574	156	226	26	86	2
FAM111B	0	24	6	6	4	10	2	2	2	2	34	2
FAM114A1	7467	1134	2740	4502	1088	3059	3146	1696	412	90	137	80
FAM114A2	7071	586	1722	890	623	1224	1266	2048	1176	1098	932	2512
FAM115A	18711	866	3776	3136	1630	2800	2304	2322	2782	172	370	1838
FAM115C	669	52	250	150	82	112	106	136	132	66	32	4
FAM117A	1078	110	88	202	80	106	198	262	202	76	128	14
FAM117B	3877	920	334	164	116	270	204	456	682	128	94	34
FAM118A	4414	328	40	146	38	62	80	92	866	54	78	70
FAM118B	5524	420	466	404	354	410	736	514	286	328	208	364
FAM120A	70181	5890	6442	5460	2368	4734	7702	7072	5596	5886	6242	9086
FAM120AOS	6180	316	546	940	376	802	914	300	382	150	4	0
FAM120B	9214	650	1814	1888	506	1374	1648	1734	3060	773	878	64
FAM120C	11130	2455	2573	2699	1525	2386	2545	2988	3577	973	620	184
FAM122A	8149	936	1090	1036	386	996	1220	1044	834	438	444	518
FAM122B	2311	112	284	334	122	182	176	352	654	306	140	14
FAM122C	297	60	4	36	0	2	0	6	24	4	0	2
FAM123A	0	2	0	0	2	0	0	6	0	0	0	2
FAM123B	3028	340	316	498	206	442	1238	814	344	280	426	26
FAM123C	0	0	0	0	0	0	0	4	0	0	2	0
FAM124A	2337	12	18	12	2	10	44	30	46	50	14	26
FAM124B	613	10	34	28	70	14	44	24	36	10	2	6
FAM125A	3160	288	262	260	116	254	394	330	396	310	120	88
FAM125B	7231	1352	382	492	214	462	534	434	362	150	122	30
FAM126A	21477	1250	2074	1312	636	1330	1694	2130	1432	558	426	1548
FAM126B	4243	1308	1484	1560	812	1364	1982	1612	1654	956	960	514
FAM127A	12490	1326	282	228	170	226	494	738	416	510	122	142
FAM127B	7383	74	36	21	11	39	72	125	102	57	52	0
FAM127C	2237	386	64	35	10	60	74	142	96	52	72	0
FAM129A	141359	2060	808	1620	716	372	674	2006	1320	352	180	70
FAM129B	3609	332	290	250	232	218	348	394	1242	184	112	158
FAM129C	0	2	0	16	0	2	8	4	0	4	2	0
FAM131A	1540	422	248	354	186	210	456	508	200	248	206	194
FAM131B	715	14	22	10	20	10	4	28	48	2	2	8
FAM131C	49	0	0	0	0	0	8	38	0	0	0	12
FAM132A	9	0	4	2	0	6	2	4	6	0	0	0
FAM132B	35	0	8	2	0	0	2	0	2	2	0	0
FAM133A	0	16	0	0	2	0	2	2	0	2	0	0
FAM133B	2903	256	274	352	140	270	220	380	344	234	180	200
FAM133CP	307	117	60	100	25	74	58	188	203	106	91	85
FAM133DP	1235	72	43	52	28	40	30	67	99	31	19	30
FAM134A	16052	478	1104	1102	692	1034	1394	1382	3010	920	370	1652
FAM134B	324285	7978	31275	2890	2358	3584	6007	5534	55760	12620	3570	5872
FAM134C	16037	1808	1362	1476	820	1118	1286	1476	3290	1030	776	1830
FAM135A	3819	674	2232	1542	848	1848	2348	2308	2348	1210	1220	1396
FAM135B	89	2	8	24	4	6	10	22	0	2	2	0
FAM136A	2468	464	322	344	176	234	408	234	82	42	32	112
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0	0	0	0
FAM138D	0	2	0	0	0	0	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0
FAM13A	5432	1958	3082	3458	542	1150	2052	3696	3458	990	712	1470
FAM13A-AS1	240	38	52	46	38	80	132	86	148	36	12	0
FAM13B	3301	748	830	962	562	854	602	1048	1232	612	1534	1596
FAM13C	8565	1244	2222	760	268	322	176	940	612	4476	336	82
FAM149A	654	480	134	232	88	96	108	350	178	16	4	0
FAM149B1	3172	502	206	286	164	186	280	158	184	314	190	154
FAM150A	0	0	0	2	0	0	0	0	0	0	0	0
FAM150B	78	0	6	6	4	6	16	8	100	0	0	0
FAM151A	12	0	0	4	0	0	0	6	2	4	2	8
FAM151B	372	52	154	278	106	294	406	98	112	104	44	74
FAM153A	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	0	2	2	0	0	0	0	0	0	0	0	0
FAM153C	0	4	0	0	0	0	0	0	8	0	0	0
FAM154A	0	0	4	20	14	8	6	22	12	0	0	0
FAM154B	49	4	38	46	14	28	34	18	12	6	0	4
FAM155A	75	2	80	20	12	18	8	6	50	0	4	10
FAM155B	117	24	36	18	12	38	90	152	6	10	24	14
FAM156A	1388	477	1244	1310	732	1096	1296	1456	3031	360	452	12
FAM156B	0	0	0	0	0	0	0	0	0	0	0	0
FAM157A	32	3	0	0	0	0	0	0	0	0	0	0
FAM157B	3	0	0	0	0	0	0	0	1	0	0	0
FAM157C	0	0	0	0	0	0	0	0	0	0	0	0
FAM159A	0	0	0	0	0	0	0	0	0	0	0	0
FAM159B	0	0	12	0	0	6	4	0	0	0	0	0
FAM160A1	17902	3028	4794	2418	1508	3456	5320	7436	2968	1738	4570	712
FAM160A2	3106	398	676	534	310	566	976	908	1126	706	608	350
FAM160B1	13460	1942	2304	2000	972	2406	1736	3370	6460	1374	902	2914
FAM160B2	4178	500	448	336	158	214	502	1104	344	286	484	38
FAM161A	1413	230	202	148	62	94	154	230	164	658	52	216
FAM161B	3030	96	246	240	80	166	108	128	38	216	78	60
FAM162A	6783	936	3652	2722	1106	2812	3786	3074	678	528	388	178
FAM162B	546	60	0	12	8	8	18	16	30	8	12	0
FAM163A	38	0	0	4	0	0	0	0	0	2	0	0
FAM163B	25	0	0	2	0	0	0	0	0	0	0	0
FAM165B	1597	900	267	204	74	392	322	386	128	2	26	0
FAM166A	394	0	0	0	0	0	2	0	0	0	0	0
FAM166B	5088	1320	6	4	2	0	4	8	0	0	2	0
FAM167A	0	2	18	32	8	6	50	0	22	0	0	2
FAM167B	343	10	34	14	22	14	54	26	2	8	8	2
FAM168A	2476	472	244	300	112	222	314	490	166	184	50	94
FAM168B	39139	4828	1520	1086	660	1518	1862	2212	3631	1350	2224	558
FAM169A	805	16	2	62	4	2	0	4	4	22	80	0
FAM169B	5	0	0	0	0	0	2	0	0	10	2	0
FAM170A	0	2	4	8	14	4	6	4	4	0	8	0
FAM170B	0	0	4	0	2	0	0	2	0	0	0	0
FAM171A1	1175	622	152	130	76	216	248	482	514	126	86	4
FAM171A2	2	12	20	18	16	22	64	40	34	38	18	6
FAM171B	679	118	192	82	96	244	210	230	110	88	60	126
FAM172A	3046	374	970	624	386	640	584	1046	966	412	680	974
FAM172BP	1	2	0	0	0	0	0	0	0	2	12	0
FAM173A	654	112	16	50	2	28	28	32	16	32	16	48
FAM173B	732	314	52	86	48	56	104	86	14	68	62	32
FAM174A	3208	808	898	718	256	522	736	752	254	376	248	248
FAM174B	36180	142	14	26	28	28	8	34	68	20	12	0
FAM175A	13665	208	326	244	214	340	300	398	456	58	178	600
FAM175B	14700	1048	1772	1454	574	1318	1698	2130	1924	596	566	708
FAM176A	0	0	0	0	0	0	0	0	0	0	0	0
FAM176B	0	0	0	0	0	0	0	0	0	0	0	0
FAM176C	0	0	0	0	0	0	0	0	0	0	0	0
FAM177A1	7929	1028	652	714	320	496	748	274	378	218	362	1004
FAM177B	0	0	0	0	0	0	0	0	0	2	0	0
FAM178A	24701	2660	3162	3826	1876	3634	3846	5310	2950	2214	2080	1172
FAM178B	26	0	4	0	0	0	0	6	8	2	0	2
FAM179A	763	72	16	24	6	4	50	0	44	18	6	2
FAM179B	4941	2078	2914	3550	1742	3392	3986	2766	3604	838	1188	880
FAM180A	333	6	4	6	12	6	16	12	10	4	0	2
FAM180B	77	30	290	58	82	118	134	182	90	4	14	4
FAM181A	30	0	0	0	0	0	0	0	0	0	0	0
FAM181A-AS1	139	20	0	0	0	10	2	12	0	0	0	0
FAM181B	57	0	6	0	0	2	0	8	0	4	2	0
FAM182A	19	12	0	0	0	0	0	0	0	0	0	0
FAM182B	19	26	0	0	0	0	0	0	0	0	0	2
FAM183A	0	0	0	0	0	0	0	0	0	0	0	0
FAM183B	0	0	0	0	0	0	0	0	0	0	0	0
FAM184A	140	74	88	394	20	138	36	124	158	324	110	168
FAM184B	1737	1438	198	1938	692	632	718	450	480	590	156	18
FAM185A	1510	276	496	238	156	372	386	498	268	140	44	32
FAM186A	80	0	0	0	0	0	2	2	0	2	0	0
FAM186B	176	52	2	0	0	0	4	6	4	2	0	0
FAM187B	0	0	0	0	0	0	0	2	2	0	0	0
FAM188A	1518	396	566	408	180	410	314	554	550	284	188	164
FAM188B	293	4	12	2	6	6	6	6	8	10	2	14
FAM189A1	0	10	2	0	0	0	6	2	0	0	0	2
FAM189A2	31814	1208	336	724	444	936	778	1120	258	182	382	8
FAM189B	7285	280	32	66	22	45	86	62	35	18	28	10
FAM18A	170	0	0	2	0	0	0	0	0	2	0	0
FAM18B1	3778	174	564	510	206	482	505	424	292	486	298	166
FAM18B2	1255	40	180	178	78	160	172	138	242	64	32	0
FAM18B2-CDRT4	332	0	2	0	2	4	2	2	2	0	2	0
FAM190A	64	128	454	390	170	138	160	334	58	88	116	108
FAM190B	46346	5428	6642	7753	2854	5818	7278	11045	2575	10178	4600	4686
FAM192A	13888	1274	1326	990	500	1070	1186	1296	1074	448	522	792
FAM193A	9150	810	560	624	298	556	856	1070	1590	1088	784	208
FAM193B	2215	404	248	586	196	370	534	496	1586	344	402	514
FAM194A	0	0	0	0	0	0	4	0	2	0	0	0
FAM194B	0	0	0	0	0	2	0	0	0	0	0	0
FAM195A	3381	870	484	702	174	428	808	616	142	152	146	34
FAM195B	2763	228	164	132	58	170	290	278	218	186	94	30
FAM196A	109	2	32	0	0	16	2	0	6	12	36	0
FAM196B	0	0	2	6	4	2	0	0	0	0	0	0
FAM197Y1	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y2	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y3	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y4	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y5	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y6	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y7	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y8	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y9	0	0	0	0	0	0	0	0	0	0	0	0
FAM198A	265	30	8	6	16	40	16	52	150	10	70	2
FAM198B	2379	474	868	1076	692	928	861	2880	322	142	50	36
FAM199X	0	0	0	0	0	0	0	0	0	0	0	0
FAM19A1	0	6	0	0	4	2	0	2	0	8	0	2
FAM19A2	75	30	0	0	0	2	0	0	0	0	24	4
FAM19A3	0	0	0	0	0	0	0	0	0	2	0	0
FAM19A4	85	0	4	0	2	0	2	56	2	0	20	0
FAM19A5	37	0	16	4	2	4	18	0	44	4	4	0
FAM200A	2215	196	462	246	40	94	128	138	40	216	74	80
FAM200B	2373	330	304	452	236	314	438	274	228	168	332	50
FAM201A	0	0	2	36	18	8	6	2	0	0	0	0
FAM201B	0	0	0	0	0	0	0	0	0	0	0	0
FAM203A	1684	32	10	18	2	10	14	16	0	44	34	32
FAM203B	1650	2	0	0	0	0	0	0	0	0	0	0
FAM204A	23107	694	2388	1706	1030	1894	1434	1654	1020	566	1066	1168
FAM205A	0	0	0	0	0	2	0	0	0	0	0	0
FAM205B	0	0	0	0	0	0	2	0	0	0	0	0
FAM206A	4251	348	194	544	272	464	376	218	208	192	188	110
FAM207A	4313	96	44	36	18	34	54	32	60	38	16	0
FAM208A	8610	1628	2450	2112	860	1858	1858	2360	3338	822	1268	3038
FAM208B	19045	3816	4580	4722	2106	4334	5346	3726	7442	1812	1626	328
FAM209A	0	4	0	0	0	0	0	0	0	0	0	0
FAM209B	0	8	0	0	0	0	0	0	0	0	0	2
FAM20A	593	2	12	14	32	24	44	24	60	70	34	10
FAM20B	36239	2928	2590	2076	1438	2552	3208	3120	1966	1788	1192	3648
FAM20C	6715	1224	574	1030	464	992	1318	934	864	66	210	44
FAM210A	7379	1522	1260	1386	814	1190	2348	1906	458	572	706	172
FAM210B	25103	1900	368	248	166	364	330	506	278	382	82	14
FAM211A	98	16	66	64	38	38	106	46	28	12	10	2
FAM211B	367	54	8	72	30	46	42	106	10	8	0	0
FAM212A	418	8	30	144	38	64	62	42	22	22	14	2
FAM212B	2729	114	64	94	38	42	48	54	46	20	30	18
FAM213A	6171	1846	3246	2516	1474	1718	2088	1962	1088	544	750	524
FAM213B	165	22	14	24	18	12	8	4	18	2	0	0
FAM214A	15534	2976	5756	5378	4110	8376	3380	7818	22248	2110	1802	1784
FAM214B	3097	370	402	516	204	422	550	562	876	348	494	954
FAM215A	0	0	0	0	0	0	0	0	0	0	0	0
FAM216A	431	68	218	202	88	162	240	256	720	100	144	24
FAM216B	49	2	0	0	0	0	0	2	0	0	0	0
FAM217A	0	0	10	10	0	2	6	0	10	0	0	0
FAM217B	2500	726	947	1018	874	1216	1322	892	1720	168	132	4
FAM218A	124	0	0	4	0	10	2	0	0	0	0	0
FAM219A	15973	810	964	814	374	688	1344	1606	2796	250	640	530
FAM219B	6950	580	520	470	232	546	596	510	1426	206	218	144
FAM21A	10433	384	452	746	432	534	750	748	1270	1418	384	654
FAM21B	9519	14	6	8	6	16	20	30	22	100	58	36
FAM21C	0	0	0	0	0	0	0	0	0	0	0	0
FAM220A	16748	5240	1160	1372	632	1418	1588	1292	176	352	296	180
FAM220BP	34	0	20	12	16	50	50	92	8	0	6	0
FAM221A	100	10	74	34	20	62	38	62	22	22	72	18
FAM221B	0	0	2	4	2	4	6	0	0	0	2	0
FAM222A	1642	14	18	54	8	14	48	106	6	0	26	4
FAM222A-AS1	66	4	98	62	14	16	12	2	4	0	0	0
FAM222B	34115	188	26	68	8	28	64	90	50	84	120	144
FAM223A	0	0	0	0	0	0	0	0	0	0	0	0
FAM223B	79	6	0	0	0	0	0	6	12	0	0	0
FAM224A	0	0	0	0	0	0	0	0	0	0	0	0
FAM224B	0	0	0	0	0	0	0	0	0	0	0	0
FAM225A	70	6	14	16	4	22	44	16	0	0	0	0
FAM225B	107	0	18	18	2	10	14	2	0	0	0	0
FAM226A	0	2	6	20	0	0	4	12	0	0	44	18
FAM226B	0	0	0	0	0	0	0	0	0	0	0	0
FAM227A	36	36	0	10	4	4	6	2	10	6	2	0
FAM227B	916	38	694	458	54	72	232	96	60	14	30	0
FAM228A	127	12	12	18	20	6	80	304	6	0	0	0
FAM228B	602	42	330	160	264	306	256	410	242	32	24	0
FAM22A	92	118	0	0	0	0	0	0	0	0	0	0
FAM22D	220	32	0	0	0	0	0	0	0	2	0	0
FAM22F	4	2	0	0	0	0	0	0	0	0	0	0
FAM22G	6	0	0	0	0	0	2	0	0	2	0	0
FAM24A	0	0	0	0	0	0	0	0	0	0	0	0
FAM24B	0	2	0	0	0	0	2	0	0	0	0	0
FAM24B-CUZD1	0	0	0	0	0	0	0	0	0	0	0	0
FAM25A	0	0	0	0	0	0	0	0	0	0	0	0
FAM25B	8	2	4	2	0	2	4	6	6	0	0	0
FAM25C	34	4	2	6	2	4	2	4	2	0	0	0
FAM25G	0	0	0	0	0	0	0	0	0	0	0	0
FAM26D	93	0	0	0	0	0	0	0	0	0	0	0
FAM26E	415	158	36	28	48	50	74	62	10	94	10	4
FAM26F	90	2	2	2	0	0	4	0	0	14	0	0
FAM27A	18	0	0	0	0	0	0	0	0	0	0	0
FAM27B	18	0	0	0	0	0	0	0	0	0	0	0
FAM27C	18	0	0	0	0	0	0	0	0	0	0	0
FAM27D1	0	0	0	0	0	0	0	0	0	0	0	0
FAM27E1	0	0	0	0	0	0	0	0	0	0	0	0
FAM27E2	0	0	0	0	0	0	0	0	0	0	0	0
FAM27E3	109	0	0	0	0	0	0	0	0	0	0	0
FAM27E4P	0	0	0	0	0	0	0	0	0	0	0	0
FAM27L	0	0	0	0	0	0	0	0	0	0	0	0
FAM32A	7623	690	854	540	392	364	508	770	782	208	324	866
FAM35A	6573	442	486	254	178	328	340	360	442	54	98	30
FAM35B	0	0	0	0	0	0	0	0	0	0	0	0
FAM35B2	0	0	0	0	0	0	0	0	0	0	0	0
FAM3A	3512	238	104	108	28	110	130	234	270	68	112	18
FAM3B	45	2	0	8	0	0	4	22	2	0	0	0
FAM3C	8590	596	808	508	262	506	600	968	1150	1260	462	696
FAM3D	0	0	0	0	0	0	0	0	0	0	0	0
FAM40A	0	0	0	0	0	0	0	0	0	0	0	0
FAM40B	0	0	0	0	0	0	0	0	0	0	0	0
FAM41AY1	0	0	0	0	0	0	0	0	0	0	0	0
FAM41AY2	0	0	0	0	0	0	0	0	0	0	0	0
FAM41C	80	2	2	14	0	2	2	14	2	2	0	0
FAM43A	462	468	46	52	38	40	92	108	170	170	54	18
FAM43B	43	46	4	28	16	14	24	2	2	2	0	8
FAM45A	4666	330	266	252	92	386	352	246	362	174	94	176
FAM45B	2033	112	88	88	48	170	104	126	208	112	44	122
FAM46A	3150	3184	956	334	216	512	572	316	1116	230	294	136
FAM46B	704	110	266	36	24	108	54	342	24	20	14	4
FAM46C	26319	1114	456	184	178	450	616	1098	2894	282	112	54
FAM46D	0	0	0	0	0	0	0	0	0	0	0	0
FAM47A	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	0	0	0	0	0	0
FAM47E	614	56	34	62	14	56	50	30	4	20	0	0
FAM47E-STBD1	14762	0	0	0	0	0	0	0	0	0	0	0
FAM48A	7244	590	1048	1160	418	1050	1186	1554	1212	286	264	1740
FAM48B1	0	0	0	0	0	0	0	0	0	0	0	0
FAM48B2	0	0	0	0	0	0	0	0	0	0	0	0
FAM49A	16067	120	334	244	104	248	290	370	412	172	112	128
FAM49B	9160	766	1576	1780	1074	1848	2246	2444	1218	760	1010	1054
FAM50A	0	0	0	0	0	0	0	0	0	0	0	0
FAM50B	3794	362	76	110	18	58	94	56	14	136	176	0
FAM53A	82	66	20	66	24	46	58	58	46	22	8	0
FAM53B	20079	3536	922	1772	758	988	1942	1774	1898	322	290	128
FAM53C	22406	2542	2881	2696	1194	1906	2828	4422	2060	1810	1348	1258
FAM54A	0	6	20	46	8	10	20	32	60	2	0	0
FAM54B	25168	3930	4184	2194	2058	2186	4478	4780	2370	1484	1440	1454
FAM57A	506	10	46	32	10	22	44	44	32	20	8	2
FAM57B	28	6	2	18	10	30	8	0	4	0	2	0
FAM58A	3695	170	106	166	116	146	170	188	92	2	0	80
FAM58BP	9	0	4	14	6	2	12	12	2	14	4	100
FAM59A	8999	464	198	218	138	228	310	406	726	326	234	276
FAM59B	1509	26	2	4	12	8	8	6	8	24	2	2
FAM5B	0	46	10	8	20	6	4	2	4	18	0	0
FAM5C	0	2	300	32	4	28	52	34	18	2	0	30
FAM60A	2345	68	102	124	50	94	160	142	452	110	68	72
FAM63A	5899	368	260	454	180	454	504	514	344	162	176	232
FAM63B	2659	594	1114	936	332	926	1238	1334	672	752	668	668
FAM64A	43	0	0	12	0	0	0	2	2	2	0	0
FAM65A	19120	436	238	266	82	148	396	348	452	484	312	88
FAM65B	18311	2140	6292	2732	3000	3742	6690	6530	4388	86	666	1010
FAM65C	667	76	20	22	14	10	34	16	60	96	72	8
FAM66A	0	0	0	0	0	0	0	0	0	0	0	0
FAM66B	18	0	0	0	0	0	0	0	0	0	0	0
FAM66C	169	22	0	0	0	0	0	2	0	0	0	0
FAM66D	2	2	0	0	0	0	0	0	0	0	0	0
FAM66E	18	0	0	0	0	0	0	0	0	0	0	0
FAM69A	1635	380	626	960	412	1186	638	514	76	232	620	176
FAM69B	328	20	26	46	14	58	28	52	40	198	40	40
FAM69C	0	10	0	4	0	0	0	4	0	4	0	0
FAM70A	583	76	58	112	68	156	95	302	112	164	212	28
FAM70B	154	0	8	10	2	0	26	10	2	2	12	0
FAM71A	0	4	36	18	0	6	12	80	18	16	94	0
FAM71B	0	0	0	0	0	0	4	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	2	4	18	2	6	22	18	14	0	2	0
FAM71E1	248	178	32	40	32	80	52	48	92	0	0	2
FAM71E2	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F1	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F2	82	2	0	0	0	0	0	0	2	4	6	0
FAM72A	0	0	0	0	0	0	0	0	0	0	0	0
FAM72B	0	0	0	0	0	0	0	0	0	0	0	0
FAM72C	0	0	0	0	0	0	0	0	0	0	0	0
FAM72D	80	18	8	24	6	10	6	6	20	2	2	0
FAM73A	11956	564	1388	1254	617	1364	1522	1472	3498	400	336	1700
FAM73B	2398	444	406	222	116	198	390	456	466	424	298	82
FAM74A1	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A2	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0	0	0	0	0	0	0
FAM74A4	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	5608	696	1622	1150	714	1374	1436	1456	1002	1614	764	450
FAM76B	1397	356	558	768	338	694	546	826	1716	464	306	212
FAM78A	5119	1870	276	1252	424	1038	2102	1712	80	274	440	20
FAM78B	116	134	54	90	32	84	114	224	2	68	240	40
FAM81A	0	6	44	84	82	122	178	52	8	32	18	104
FAM81B	0	0	0	0	0	4	4	0	0	0	4	2
FAM82A1	321	160	158	292	116	186	160	244	90	204	38	30
FAM82A2	6030	390	230	274	262	314	306	654	1034	860	144	522
FAM82B	10500	1077	1664	1044	474	1124	1052	1336	548	832	526	1270
FAM83A	0	0	8	0	0	0	0	0	0	2	0	0
FAM83B	302	0	0	4	0	0	2	2	2	0	60	4
FAM83C	0	8	0	2	0	2	2	0	0	0	2	0
FAM83D	0	8	6	28	6	0	12	12	28	10	2	0
FAM83E	0	6	2	32	4	20	8	8	2	0	0	0
FAM83F	0	0	2	8	6	0	26	136	254	2	0	0
FAM83G	3074	32	0	10	2	12	22	8	78	8	36	6
FAM83H	34	2	8	106	6	28	26	60	212	16	2	6
FAM84A	429	32	22	10	8	30	6	8	6	2	8	2
FAM84B	1436	162	221	172	44	162	230	194	548	158	78	58
FAM85A	104	0	0	0	0	0	0	4	0	0	0	0
FAM86A	3952	133	26	8	4	16	16	0	12	0	8	0
FAM86B1	234	3	0	0	0	2	0	0	0	0	0	0
FAM86B2	51	2	0	0	0	0	0	0	0	0	3	0
FAM86B3P	9	6	2	0	0	2	0	0	0	0	0	0
FAM86C1	1169	16	2	0	6	3	0	0	7	0	0	0
FAM86C2P	215	0	0	0	4	2	0	0	0	0	0	0
FAM86DP	1716	0	0	0	2	0	4	0	1	1	2	0
FAM86EP	383	0	5	0	0	0	6	2	2	4	12	0
FAM86FP	169	0	0	0	0	0	0	0	0	0	0	0
FAM86HP	155	25	0	0	0	0	0	0	0	0	0	0
FAM86JP	129	97	0	0	0	0	0	0	0	0	0	0
FAM87A	0	0	0	0	0	0	0	0	0	0	0	0
FAM87B	0	0	0	8	0	0	0	0	0	0	0	0
FAM89A	480	66	90	118	116	176	168	160	144	14	20	0
FAM89B	10928	2056	820	880	388	826	1254	1668	310	162	312	70
FAM8A1	22721	2144	2656	2180	1452	2548	2920	3184	4150	1020	520	826
FAM90A1	0	4	0	2	0	0	0	4	0	0	0	0
FAM90A10P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A2P	0	0	0	0	0	0	0	0	0	0	0	0
FAM90A7P	0	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	3054	372	950	488	412	554	686	912	2106	896	608	1550
FAM91A2	125	4	0	0	0	0	0	0	0	0	0	0
FAM92A1	690	306	236	320	186	286	412	312	114	468	476	364
FAM92A1P2	0	2	0	0	2	2	2	2	0	4	0	4
FAM92B	0	0	0	0	0	0	0	0	0	0	0	0
FAM95B1	0	2	0	0	0	0	0	0	0	0	0	0
FAM96A	3407	994	1062	1134	380	850	1160	1196	672	244	156	1384
FAM96B	24921	870	1084	1392	544	1432	1912	1304	486	832	294	1326
FAM98A	25748	1632	1414	1812	682	1124	1584	3598	2308	1620	2082	3014
FAM98B	3748	156	200	500	150	216	234	304	282	156	112	216
FAM98C	49	50	56	110	56	98	84	172	140	84	8	14
FAM99A	0	0	0	0	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0	0	0	0	0
FAM9A	0	0	0	0	0	0	0	0	0	0	0	0
FAM9B	0	0	2	0	0	0	0	0	0	0	0	0
FAM9C	0	0	0	24	8	4	2	0	0	2	0	0
FAN1	11611	1540	3194	1918	994	1832	2250	2992	642	788	302	256
FANCA	633	12	134	114	38	66	124	146	158	64	22	0
FANCB	0	4	50	64	30	36	40	24	10	50	12	4
FANCC	726	64	128	182	92	80	100	172	126	54	150	44
FANCD2	242	26	164	208	74	86	304	36	54	16	44	26
FANCD2OS	22	0	0	0	0	0	0	0	0	0	0	0
FANCE	21612	34	358	726	454	338	646	642	232	20	76	26
FANCF	1210	20	32	56	18	18	26	50	64	10	50	0
FANCG	622	18	102	162	54	96	136	228	258	44	24	30
FANCI	1574	54	78	288	84	60	102	90	300	66	22	40
FANCL	1412	172	122	94	62	128	82	636	126	168	142	26
FANCM	913	54	1872	2068	886	2196	3068	1298	1424	290	50	22
FANK1	79	0	16	30	2	22	22	78	4	0	0	2
FAP	2803	310	1084	672	946	1046	858	1322	660	370	178	258
FAR1	12252	1720	1922	2500	742	2098	2024	1634	814	998	1028	954
